rxn_id	kegg_reaction_id	ec_code	substrates	products
MAR06750	R02534	2.1.1.6	C00547;C00019	C00080;C05589;C00021
MAR06751	R04893	1.4.3.4	C00001;C05589;C00007	C05583;C00080;C00027;C00014
MAR06752	R02532	1.4.3.4	C00001;C00547;C00007	C05577;C00080;C00027;C00014
MAR06753	R04882	1.2.1.5	C05577;C00001;C00003	C05580;C00080;C00004
MAR06754	R04883	1.2.1.5	C05577;C00001;C00006	C05580;C00080;C00005
MAR06755	R04887	2.1.1.6	C05580;C00019	C00080;C00021;C05584
MAR06756	R04880	1.1.1.1	C05577;C00080;C00004	C05576;C00003
MAR06757	R04881	2.1.1.6	C05576;C00019	C05594;C00080;C00021
MAR06758	R04300	1.4.3.4	C03758;C00001;C00007	C04043;C00080;C00027;C00014
MAR06759	R04084	4.2.1.78	C04043;C03758	C00001;C06350
MAR06760	R03300	1.2.1.5	C04043;C00001;C00003	C01161;C00080;C00004
MAR06761	R03302	1.2.1.5	C04043;C00001;C00006	C01161;C00080;C00005
MAR06762	R03304	2.1.1.6	C01161;C00019	C00080;C05582;C00021
MAR06763	R04301	2.1.1.6	C03758;C00019	C05587;C00080;C00021
MAR06764	R04890	1.4.3.4	C05587;C00001;C00007	C05581;C00080;C00027;C00014
MAR06766	R04888	1.2.1.5	C05581;C00001;C00003	C00080;C05582;C00004
MAR06767	R04889	1.2.1.5	C05581;C00001;C00006	C00080;C05582;C00005
MAR06768	R00734	2.6.1.1	C00026;C00082	C01179;C00025
MAR06770	R00729	1.4.3.2	C00001;C00007;C00082	C01179;C00080;C00027;C00014
MAR06771	R03342	5.3.2.1	C01179	C05350
MAR06772	R02521	1.13.11.27	C01179;C00007	C00011;C00544
MAR06774	R02519	1.13.11.5	C00544;C00007	C01036;C00080
MAR06776	R03181	5.2.1.2	C01036	C01061
MAR06778	R01364	3.7.1.2	C01061;C00001	C00164;C00122;C00080
MAR06782	R03336	1.1.1.222	C01179;C00080;C00004	C03672;C00003
MAR06784	R01616	6.2.1.12	C00811;C00002;C00010	C00223;C00020;C00013
MAR06786	R01301	3.1.2.23	C02949;C00001	C00156;C00010;C00080
MAR06787	R00736	4.1.1.28	C00080;C00082	C00011;C00483
MAR06788	R02384	2.1.1.49	C00019;C00483	C00080;C02442;C00021
MAR06789	R02382	1.4.3.4	C00001;C00007;C00483	C03765;C00080;C00027;C00014
MAR06790	R02695	1.2.1.5	C03765;C00001;C00003	C00642;C00080;C00004
MAR06791	R02697	1.2.1.5	C03765;C00001;C00006	C00642;C00080;C00005
MAR06802	R03943	2.1.1.-	C02442;C00019	C00080;C06199;C00021
MAR06854	R03734	1.97.1.10	C00708;C00006;C02465	C00005;C01829
MAR06855	R03734	1.97.1.10	C00708;C00006;C02465	C00005;C01829
MAR06874	R02078	1.14.18.1	C00007;C00082	C00001;C00822
MAR06888	R03673	5.3.3.12	C01693	C04185
MAR07628	R00690	1.11.1.7	C00007;C00079	C02505;C00011;C00001
MAR07756	R02540	3.5.1.4	C02505;C00001	C00080;C00014;C07086
MAR08539	R07211	1.14.16.1	C00007;C00079;C00272	C15522;C00082
MAR08796	R05841	2.3.1.13	C00037;C00582	C00010;C00080;C05598
MAR03875	R00177	2.5.1.6	C00002;C00001;C00073	C00009;C00013;C00019
MAR03877	R00192	3.3.1.1	C00001;C00021	C00212;C00155
MAR03879	R01290	4.2.1.22	C00155;C00065	C00001;C02291
MAR03881	R01001	4.4.1.1	C00001;C02291	C00109;C00097;C00080;C00014
MAR03912	R00895	2.6.1.1	C00026;C00097	C00025;C00957
MAR03917	R00946	2.1.1.13	C00440;C00155	C00080;C00073;C00101
MAR03928	R03105	2.8.1.2	C00080;C00957;C00094	C05529;C00022
MAR03995	R00116	1.8.1.9	C00491;C00080;C00005	C00097;C00006
MAR03996	R00892	1.8.1.6	C00491;C00080;C00004	C00097;C00003
MAR04072	R00380	2.1.1.37	C00039;C00019	C02967;C00080;C00021
MAR04189	R00533	1.8.3.1	C00001;C00007;C00094	C00027;C00059
MAR04302	R00782	4.4.1.1	C00097;C00001	C00080;C00283;C00014;C00022
MAR04323	R00891	4.2.1.22	C00080;C00283;C00065	C00097;C00001
MAR05385	R04420	5.3.1.23	C04188	C04582
MAR05386	R07392	4.2.1.109	C04582	C15650;C00001
MAR05387	R07395	3.1.3.77	C15650;C00001	C15606;C00009
MAR05388	R07363	1.13.11.53	C15606;C00007	C08276;C00237;C00058;C00080
MAR05389	R07364	1.13.11.54	C15606;C00007	C01180;C00058;C00080
MAR05390	R00648	1.4.3.2	C00001;C00073;C00007	C01180;C00080;C00027;C00014
MAR05391	R07396	2.6.1.5	C01180;C00025	C00026;C00073
MAR06515	R03105	2.8.1.2	C00957;C00094	C00022;C00320
MAR06518	R03106	2.8.1.2	C01326;C00957	C00080;C00022;C01755
MAR06519	R03104	1.1.1.27	C05823;C00003	C00080;C00957;C00004
MAR06520	R01931	2.8.1.1	C01326;C00320	C00080;C00094;C01755
MAR08066	R02433	2.6.1.1	C05528;C00025	C00026;C00506
MAR08067	R02433	2.6.1.1	C05528;C00025	C00026;C00506
MAR08068	R05693	1.1.1.37	C11499;C00003	C05528;C00080;C00004
MAR08069	R05693	1.1.1.37	C11499;C00003	C05528;C00080;C00004
MAR08641	R04858	2.1.1.37	C00039;C00019	C02967;C00080;C00021
MAR08684	R00895	2.6.1.1	C00026;C00097	C00025;C00957
MAR03868	R00094	1.8.1.7	C00127;C00080;C00004	C00051;C00003
MAR03869	R00094	1.8.1.7	C00127;C00080;C00004	C00051;C00003
MAR03889	R00251	3.5.2.9	C01879;C00002;C00001	C00008;C00025;C00080;C00009
MAR03933	R06983	1.1.1.284	C01031;C00080;C00004	C14180;C00003
MAR03937	R00527	3.1.2.12	C01031;C00001	C00058;C00051;C00080
MAR04116	R00274	1.11.1.9	C00051;C00027	C00127;C00001
MAR04120	R00274	1.11.1.9	C00051;C00027	C00127;C00001
MAR04121	R00274	1.11.1.9	C00051;C00027	C00127;C00001
MAR04175	R00494	2.3.2.2	C00051;C00001	C01419;C00025
MAR04176	R00494	2.3.2.2	C00051;C00001	C01419;C00025
MAR04324	R00894	6.3.2.2	C00002;C00097;C00025	C00008;C00669;C00080;C00009
MAR04326	R00497	6.3.2.3	C00002;C00669;C00037	C00008;C00051;C00080;C00009
MAR04328	R00899	3.4.11.1	C01419;C00001	C00097;C00037
MAR04329	R00899	3.4.11.1	C01419;C00001	C00097;C00037
MAR04708	R02743	2.3.2.4	C00669	C01879;C00097
MAR04078	R09076	1.5.3.17	C00001;C00007;C00750	C05665;C00027;C00315
MAR04174	R00489	4.1.1.11	C00049;C00080	C00099;C00011
MAR04330	R00908	2.6.1.55	C00222;C00025	C00026;C00099
MAR04347	R00905	3.5.1.6	C02642;C00080;C00001	C00099;C00011;C00014
MAR04425	R01164	6.3.2.11	C00002;C00099;C00135	C00020;C00386;C00080;C00013
MAR04427	R01166	3.4.13.3	C00386;C00001	C00099;C00135
MAR04688	R02549	1.2.1.3	C00555;C00001;C00003	C00334;C00080;C00004
MAR04689	R02549	1.2.1.19	C00555;C00001;C00003	C00334;C00080;C00004
MAR04735	R03045	4.2.1.17	C00894;C00001	C05668
MAR07128	R04929	2.7.7.4	C00002;C00080;C05697	C05686;C00013
MAR07129	R04928	2.7.1.25	C05686;C00002	C05696;C00008;C00080
MAR07131	R03596	1.8.1.9	C00080;C00005;C05684	C00001;C00006;C01528
MAR07132	R03595	2.7.9.3	C00002;C00001;C01528	C00020;C00009;C05172
MAR07133	R03599	4.4.1.16	C00041;C00080;C00018;C01528	C00627;C05688
MAR07134	R04930	4.4.1.1	C00001;C05699	C00109;C00080;C00014;C05688
MAR07135	R04942	4.2.1.22	C00001;C05699	C05698;C00065
MAR07136	R04936	3.3.1.1	C00001;C05692	C00212;C05698
MAR07137	R04770	4.4.1.1	C00001;C05335	C00109;C00080;C05703;C00014
MAR07139	R04771	2.5.1.6	C00002;C00001;C05335	C00009;C00013;C05691
MAR07140	R04931	2.1.1.9	C00080;C00021;C05689	C00019;C05688
MAR07141	R09366	4.4.1.16	C00001;C05689	C00080;C05703;C00014;C00022
MAR07620	R04773	6.1.1.10	C00002;C05335;C01647	C00020;C00013;C05336
MAR07647	R05861	1.4.3.3	C00133;C00016;C00001	C01352;C00080;C00014;C00022
MAR08640	R04939	2.1.1.37	C00039;C05691	C02967;C00080;C05692
MAR08689	R02923	1.4.3.3	C00792;C00016;C00001	C03771;C01352;C00080;C00014
MAR08690	R02457	1.4.3.3	C00515;C00016;C00001	C01110;C01352;C00080;C00014
MAR03753	R04224	4.2.1.17	C00001;C03460	C04047
MAR03755	R03352	3.1.2.4	C04047;C00001	C06001;C00010;C00080
MAR03759	R03869	1.2.1.3	C00349;C00001;C00003	C00080;C02170;C00004
MAR03763	R02764	3.1.2.17	C00010;C00080;C02170	C01213;C00001
MAR03773	R04138	6.4.1.4	C03069;C00002;C00288	C03231;C00008;C00080;C00009
MAR03775	R02085	4.2.1.18	C03231;C00001	C00356
MAR03785	R04204	4.2.1.17	C00001;C03345	C04405
MAR03790	R03871	1.2.3.1	C00349;C00001;C00007	C00080;C00027;C02170
MAR03792	R02048	2.6.1.22	C00349;C00025	C00026;C01205
MAR03796	R00926	6.2.1.1	C00020;C00080;C00100	C00010;C05983
MAR03823	R04203	1.1.1.178	C04405;C00003	C03344;C00080;C00004
MAR06416	R07600	1.2.4.4	C00248;C15976	C04424;C00068
MAR03988	R00022	3.2.1.52	C01674;C00001	C00140
MAR04124	R01384	4.1.1.35	C00080;C00167	C00011;C00190
MAR04158	R00415	2.7.7.23	C00080;C04256;C00075	C00013;C00043
MAR04159	R00418	5.1.3.7	C00203	C00043
MAR04299	R00765	3.5.99.6	C00352;C00001	C00085;C00080;C00014
MAR04300	R00768	2.6.1.16	C00085;C00064	C00352;C00025
MAR04494	R01961	2.7.1.1	C00002;C00329	C00008;C00352;C00080
MAR04524	R01201	2.7.1.59	C00002;C00140	C00008;C00080;C00357
MAR04525	R00414	5.1.3.14	C00001;C00043	C00080;C00645;C00015
MAR04526	R00414	5.1.3.14	C00001;C00043	C00080;C00645;C00015
MAR04527	R01207	5.1.3.8	C00645	C00140
MAR04528	R02705	2.7.1.60	C00002;C00645	C00008;C00080;C04257
MAR04529	R04435	2.5.1.56	C00001;C04257;C00074	C06241;C00009
MAR04530	R01805	3.1.3.29	C00001;C06241	C19910;C00009
MAR04531	R01803	1.14.18.2	C00080;C19910;C00004;C00007	C00001;C00003;C03410
MAR04532	R04215	2.7.7.43	C00063;C03410	C03691;C00013
MAR04533	R01115	1.14.18.2	C03691;C00001;C00003	C00128;C00080;C00004;C00007
MAR04534	R01116	1.14.18.2	C03691;C00001;C00006	C00128;C00080;C00005;C00007
MAR04536	R01117	2.7.7.43	C00063;C19910	C00128;C00013
MAR04628	R02058	2.3.1.4	C00024;C00352	C00010;C00080;C00357
MAR04629	R02059	3.5.1.25	C00001;C00357	C00033;C00352
MAR04631	R02086	5.4.2.3	C00357	C04256
